Month,Year,Company,Number_Disconnections_Res,Outliers
12,2013,Duke Energy Progress,6417,
12,2013,Dominion,270,
12,2013,Duke Energy Carolinas,10515,
12,2013,New River Light & Power,17,
1,2012,Duke Energy Carolinas,10899,
1,2012,Duke Energy Progress,7836,
1,2012,Dominion,616,
1,2012,New River Light & Power,30,
2,2012,Duke Energy Progress,7535,
2,2012,Dominion,418,
2,2012,Duke Energy Carolinas,10673,
2,2012,New River Light & Power,14,
3,2012,Duke Energy Progress,8655,
3,2012,Dominion,391,
3,2012,Duke Energy Carolinas,10904,
3,2012,New River Light & Power,21,
4,2012,Duke Energy Progress,8382,
4,2012,Dominion,404,
4,2012,Duke Energy Carolinas,10962,
4,2012,New River Light & Power,27,
5,2012,Duke Energy Progress,8540,
5,2012,Dominion,500,
5,2012,Duke Energy Carolinas,13477,Y
5,2012,New River Light & Power,29,
6,2012,Duke Energy Progress,7495,
6,2012,Dominion,531,
6,2012,Duke Energy Carolinas,11078,
6,2012,New River Light & Power,23,
7,2012,Duke Energy Progress,6144,
7,2012,Dominion,340,
7,2012,Duke Energy Carolinas,11411,Y
7,2012,New River Light & Power,32,
8,2012,Duke Energy Progress,8049,
8,2012,Dominion,674,
8,2012,Duke Energy Carolinas,11847,Y
8,2012,New River Light & Power,12,
9,2012,Duke Energy Progress,7748,
9,2012,Dominion,469,
9,2012,Duke Energy Carolinas,12429,Y
9,2012,New River Light & Power,9,
10,2012,Duke Energy Progress,10247,
10,2012,Dominion,547,
10,2012,Duke Energy Carolinas,15757,Y
10,2012,New River Light & Power,10,
11,2012,Duke Energy Progress,8297,
11,2012,Dominion,622,
11,2012,Duke Energy Carolinas,12612,
11,2012,New River Light & Power,13,
12,2012,Duke Energy Progress,6599,
12,2012,Dominion,398,
12,2012,Duke Energy Carolinas,9816,
12,2012,New River Light & Power,15,
1,2011,Duke Energy Carolinas,9475,
1,2011,Duke Energy Progress,5445,
1,2011,Dominion,76,
1,2011,New River Light & Power,0,
2,2011,Duke Energy Progress,6704,
2,2011,Dominion,360,
2,2011,Duke Energy Carolinas,11712,Y
2,2011,New River Light & Power,2,
3,2011,Duke Energy Progress,9028,
3,2011,Dominion,697,
3,2011,Duke Energy Carolinas,13100,Y
3,2011,New River Light & Power,4,
4,2011,Duke Energy Progress,6240,
4,2011,Dominion,468,
4,2011,Duke Energy Carolinas,11889,
4,2011,New River Light & Power,3,
5,2011,Duke Energy Progress,7752,
5,2011,Dominion,548,
5,2011,Duke Energy Carolinas,13528,Y
5,2011,New River Light & Power,12,
6,2011,Duke Energy Progress,7610,
6,2011,Dominion,579,
6,2011,Duke Energy Carolinas,13293,Y
6,2011,New River Light & Power,17,
7,2011,Duke Energy Progress,4650,
7,2011,Dominion,310,
7,2011,Duke Energy Carolinas,8913,
7,2011,New River Light & Power,25,
8,2011,Duke Energy Progress,7972,
8,2011,Dominion,518,
8,2011,Duke Energy Carolinas,13052,Y
8,2011,New River Light & Power,15,
9,2011,Duke Energy Progress,8135,
9,2011,Dominion,537,
9,2011,Duke Energy Carolinas,13157,Y
9,2011,New River Light & Power,7,
10,2011,Duke Energy Progress,9689,
10,2011,Dominion,565,
10,2011,Duke Energy Carolinas,14725,Y
10,2011,New River Light & Power,8,
11,2011,Duke Energy Progress,8357,
11,2011,Dominion,563,
11,2011,Duke Energy Carolinas,13354,Y
11,2011,New River Light & Power,18,
12,2011,Duke Energy Progress,7503,
12,2011,Dominion,329,
12,2011,Duke Energy Carolinas,10861,
12,2011,New River Light & Power,21,
1,2010,Duke Energy Carolinas,8612,
1,2010,Duke Energy Progress,6464,
1,2010,Dominion,208,
1,2010,New River Light & Power,8,
2,2010,Duke Energy Progress,6199,
2,2010,Dominion,79,
2,2010,Duke Energy Carolinas,7550,
2,2010,New River Light & Power,1,
3,2010,Duke Energy Progress,9115,
3,2010,Dominion,555,
3,2010,Duke Energy Carolinas,14735,Y
3,2010,New River Light & Power,5,
4,2010,Duke Energy Progress,8235,
4,2010,Dominion,387,
4,2010,Duke Energy Carolinas,12739,Y
4,2010,New River Light & Power,2,
5,2010,Duke Energy Progress,8564,
5,2010,Dominion,490,
5,2010,Duke Energy Carolinas,15240,Y
5,2010,New River Light & Power,1,
6,2010,Duke Energy Progress,6443,
6,2010,Dominion,560,
6,2010,Duke Energy Carolinas,14233,Y
6,2010,New River Light & Power,2,
7,2010,Duke Energy Progress,5241,
7,2010,Dominion,362,
7,2010,Duke Energy Carolinas,10049,
7,2010,New River Light & Power,1,
8,2010,Duke Energy Progress,6530,
8,2010,Dominion,298,
8,2010,Duke Energy Carolinas,10603,
8,2010,New River Light & Power,1,
9,2010,Duke Energy Progress,7363,
9,2010,Dominion,671,
9,2010,Duke Energy Carolinas,13693,Y
9,2010,New River Light & Power,4,
10,2010,Duke Energy Progress,7852,
10,2010,Dominion,651,
10,2010,Duke Energy Carolinas,14142,Y
10,2010,New River Light & Power,8,
11,2010,Duke Energy Progress,8545,
11,2010,Dominion,485,
11,2010,Duke Energy Carolinas,13869,
11,2010,New River Light & Power,6,
12,2010,Duke Energy Progress,3501,
12,2010,Dominion,4801,Y
12,2010,Duke Energy Carolinas,3844,
12,2010,New River Light & Power,5,
1,2009,Duke Energy Carolinas,7665,
1,2009,Duke Energy Progress,6230,
1,2009,Dominion,179,
1,2009,New River Light & Power,1,
2,2009,Duke Energy Progress,6591,
2,2009,Dominion,233,
2,2009,Duke Energy Carolinas,10292,
2,2009,New River Light & Power,0,
3,2009,Duke Energy Progress,7398,
3,2009,Dominion,244,
3,2009,Duke Energy Carolinas,13890,Y
3,2009,New River Light & Power,0,
4,2009,Duke Energy Progress,7766,
4,2009,Dominion,343,
4,2009,Duke Energy Carolinas,13785,Y
4,2009,New River Light & Power,4,
5,2009,Duke Energy Progress,7106,
5,2009,Dominion,371,
5,2009,Duke Energy Carolinas,13210,Y
5,2009,New River Light & Power,8,
6,2009,Duke Energy Progress,7023,
6,2009,Dominion,458,
6,2009,Duke Energy Carolinas,13828,Y
6,2009,New River Light & Power,5,
7,2009,Duke Energy Progress,5788,
7,2009,Dominion,516,
7,2009,Duke Energy Carolinas,10441,
7,2009,New River Light & Power,1,
8,2009,Duke Energy Progress,6183,
8,2009,Dominion,474,
8,2009,Duke Energy Carolinas,11271,
8,2009,New River Light & Power,0,
9,2009,Duke Energy Progress,7860,
9,2009,Dominion,567,
9,2009,Duke Energy Carolinas,14291,Y
9,2009,New River Light & Power,4,
10,2009,Duke Energy Progress,7933,
10,2009,Dominion,551,
10,2009,Duke Energy Carolinas,13374,Y
10,2009,New River Light & Power,1,
11,2009,Duke Energy Progress,6724,
11,2009,Dominion,437,
11,2009,Duke Energy Carolinas,12069,
11,2009,New River Light & Power,3,
12,2009,Duke Energy Progress,7093,
12,2009,Dominion,266,
12,2009,Duke Energy Carolinas,10688,
12,2009,New River Light & Power,8,
1,2008,Duke Energy Carolinas,10593,
1,2008,Duke Energy Progress,7814,
1,2008,Dominion,219,
1,2008,New River Light & Power,11,
2,2008,Duke Energy Progress,7474,
2,2008,Dominion,410,
2,2008,Duke Energy Carolinas,9343,
2,2008,New River Light & Power,11,
3,2008,Duke Energy Progress,7843,
3,2008,Dominion,502,
3,2008,Duke Energy Carolinas,10972,
3,2008,New River Light & Power,16,
